zipcode,latitude,longitude,room_type,accommodates,bedrooms,price,review_scores_value
1054 AP,52.36498853,4.876862157,Entire home/apt,6,2.0,299,90.0
1054 AP,52.36548529,4.878535366,Entire home/apt,4,1.0,125,90.0
1095,52.36669082,4.940258107,Entire home/apt,5,2.0,180,100.0
,52.36553883,4.928570761,Entire home/apt,4,1.0,100,90.0
1056,52.36956303,4.89481523,Entire home/apt,4,1.0,125,
1011 LM,52.37024304,4.906931718,Entire home/apt,2,0.0,110,100.0
1093,52.36482489,4.927615549,Entire home/apt,3,0.0,100,90.0
1093,52.36703041,4.928787977,Private room,2,1.0,70,90.0
1054,52.36145294,4.876958188,Private room,2,1.0,105,100.0
1054,52.36342384,4.875577271,Private room,2,1.0,105,100.0
1017,52.37321766,4.889264889,Entire home/apt,2,1.0,119,90.0
1073,52.34731391,4.894011673,Entire home/apt,2,1.0,75,100.0
1055,52.37809103,4.850393559,Entire home/apt,2,1.0,116,90.0
1016,52.37302147,4.88576874,Entire home/apt,2,1.0,110,90.0
1013,52.38889544,4.891618084,Private room,4,1.0,95,
1086,52.36424187,4.984112196,Entire home/apt,4,3.0,350,
1079 EC,52.34228319,4.898593909,Entire home/apt,4,3.0,92,100.0
,52.34977975,4.867907852,Private room,2,1.0,68,90.0
1011 KA,52.37005916,4.896975438,Entire home/apt,4,3.0,325,100.0
1081 GN,52.32789177,4.862527872,Entire home/apt,2,1.0,70,90.0
1018,52.37224817,4.922829408,Entire home/apt,4,2.0,169,
1072,52.35092929,4.892509086,Entire home/apt,2,1.0,125,80.0
1058,52.36213111,4.858478952,Entire home/apt,5,3.0,90,90.0
1053,52.36483134,4.874271813,Entire home/apt,2,1.0,89,90.0
1017 TK,52.35918553,4.894153525,Entire home/apt,4,1.0,115,90.0
1013 GW,52.37803532,4.893440144,Private room,6,1.0,100,90.0
1013,52.37964099,4.893817095,Private room,3,1.0,100,90.0
1013,52.37969074,4.894384059,Private room,2,1.0,90,80.0
1013,52.37875854,4.892635937,Private room,2,1.0,95,90.0
1013,52.37800575,4.894338893,Private room,2,1.0,95,90.0
1013 GW,52.37800438,4.892993475,Private room,2,1.0,95,80.0
1018,52.36330616,4.915251845,Entire home/apt,4,2.0,220,100.0
1017,52.36313005,4.898875669,Entire home/apt,2,1.0,120,100.0
1017,52.3630749,4.898863217,Entire home/apt,2,1.0,200,100.0
1051 GT,52.38340424,4.872990743,Entire home/apt,5,3.0,190,
1017,52.36243841,4.901204958,Entire home/apt,2,1.0,89,90.0
1017,52.36037662,4.901563271,Entire home/apt,2,1.0,120,90.0
1011,52.36736393,4.897350575,Entire home/apt,4,1.0,139,100.0
1011 KW,52.37075454,4.903788525,Entire home/apt,4,1.0,119,100.0
1053 LZ,52.36678581,4.876646451,Entire home/apt,4,2.0,259,100.0
1053 LZ,52.367363,4.876700106,Private room,4,1.0,99,90.0
1013 MM,52.38338727,4.893402393,Entire home/apt,2,1.0,175,100.0
1011 BS,52.37424004,4.903299461,Private room,4,1.0,120,90.0
1057,52.36418435,4.850378195,Private room,2,1.0,100,90.0
